date,strategy,nav,nav_gross,nav_net,cash,debt,interest,collateral_value,maintenance,gross_exposure,net_exposure,turnover,transaction_cost,signal,position,margin_call,liquidation_event,eligible_collateral_value,eligible_target_value,eligible_total_value,non_eligible_asset_value,target_value,required_repayment,required_additional_collateral,liquidation_proceeds,net_equity,cost_drag
2018-05-07,ma200_switch_00685L,0.8917425827988673,0.8917425827988673,0.8917425827988673,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-05-08,ma200_switch_00685L,0.9003723497291788,0.9003723497291788,0.9003723497291788,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-05-09,ma200_switch_00685L,0.9082829694152978,0.9082829694152978,0.9082829694152978,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-05-10,ma200_switch_00685L,0.9205084725665725,0.9205084725665725,0.9205084725665725,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-05-11,ma200_switch_00685L,0.9334531229620401,0.9334531229620401,0.9334531229620401,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-05-14,ma200_switch_00685L,0.951431804066856,0.951431804066856,0.951431804066856,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-05-15,ma200_switch_00685L,0.9384871536713887,0.9384871536713887,0.9384871536713887,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-05-16,ma200_switch_00685L,0.9370488591830032,0.9370488591830032,0.9370488591830032,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-05-17,ma200_switch_00685L,0.9327339757178474,0.9327339757178474,0.9327339757178474,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-05-18,ma200_switch_00685L,0.9312956812294622,0.9312956812294622,0.9312956812294622,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-05-21,ma200_switch_00685L,0.9535892457994338,0.9535892457994338,0.9535892457994338,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-05-22,ma200_switch_00685L,0.949274362334278,0.949274362334278,0.949274362334278,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-05-23,ma200_switch_00685L,0.9428020371365443,0.9428020371365443,0.9428020371365443,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-05-24,ma200_switch_00685L,0.9449594788691221,0.9449594788691221,0.9449594788691221,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-05-28,ma200_switch_00685L,0.955027540287819,0.955027540287819,0.955027540287819,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-05-29,ma200_switch_00685L,0.9471169206016999,0.9471169206016999,0.9471169206016999,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-05-30,ma200_switch_00685L,0.9205084725665725,0.9205084725665725,0.9205084725665725,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-05-31,ma200_switch_00685L,0.9348914174504253,0.9348914174504253,0.9348914174504253,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-06-01,ma200_switch_00685L,0.9392063009155811,0.9392063009155811,0.9392063009155811,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-06-04,ma200_switch_00685L,0.975163663125213,0.975163663125213,0.975163663125213,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-06-05,ma200_switch_00685L,0.9679721906832867,0.9679721906832867,0.9679721906832867,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-06-06,ma200_switch_00685L,0.9945806387184141,0.9945806387184141,0.9945806387184141,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-06-07,ma200_switch_00685L,0.9988955221835698,0.9988955221835698,0.9988955221835698,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-06-08,ma200_switch_00685L,0.9830742828113319,0.9830742828113319,0.9830742828113319,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-06-11,ma200_switch_00685L,0.9837934300555244,0.9837934300555244,0.9837934300555244,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-06-12,ma200_switch_00685L,0.9816359883229466,0.9816359883229466,0.9816359883229466,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-06-13,ma200_switch_00685L,0.986670019032295,0.986670019032295,0.986670019032295,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-06-14,ma200_switch_00685L,0.9643764544623233,0.9643764544623233,0.9643764544623233,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-06-15,ma200_switch_00685L,0.9658147489507085,0.9658147489507085,0.9658147489507085,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-06-19,ma200_switch_00685L,0.9413637426481589,0.9413637426481589,0.9413637426481589,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-06-20,ma200_switch_00685L,0.9571849820203968,0.9571849820203968,0.9571849820203968,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-06-21,ma200_switch_00685L,0.9499935095784705,0.9499935095784705,0.9499935095784705,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-06-22,ma200_switch_00685L,0.944959478869122,0.944959478869122,0.944959478869122,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-06-25,ma200_switch_00685L,0.93345312296204,0.93345312296204,0.93345312296204,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-06-26,ma200_switch_00685L,0.929138239496884,0.929138239496884,0.929138239496884,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-06-27,ma200_switch_00685L,0.9241042087875355,0.9241042087875355,0.9241042087875355,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-06-28,ma200_switch_00685L,0.9190701780781871,0.9190701780781871,0.9190701780781871,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-06-29,ma200_switch_00685L,0.9463977733575072,0.9463977733575072,0.9463977733575072,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-07-02,ma200_switch_00685L,0.9334531229620399,0.9334531229620399,0.9334531229620399,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-07-03,ma200_switch_00685L,0.9312956812294618,0.9312956812294618,0.9312956812294618,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-07-04,ma200_switch_00685L,0.937048859183003,0.937048859183003,0.937048859183003,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-07-05,ma200_switch_00685L,0.9140361473688389,0.9140361473688389,0.9140361473688389,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-07-06,ma200_switch_00685L,0.9190701780781872,0.9190701780781872,0.9190701780781872,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-07-09,ma200_switch_00685L,0.9435211843807367,0.9435211843807367,0.9435211843807367,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-07-10,ma200_switch_00685L,0.9514318040668559,0.9514318040668559,0.9514318040668559,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-07-11,ma200_switch_00685L,0.9327339757178473,0.9327339757178473,0.9327339757178473,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-07-12,ma200_switch_00685L,0.9564658347762043,0.9564658347762043,0.9564658347762043,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-07-13,ma200_switch_00685L,0.9722870741484423,0.9722870741484423,0.9722870741484423,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-07-16,ma200_switch_00685L,0.9694104851716717,0.9694104851716717,0.9694104851716717,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-07-17,ma200_switch_00685L,0.9593424237529747,0.9593424237529747,0.9593424237529747,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-07-18,ma200_switch_00685L,0.970848779660057,0.970848779660057,0.970848779660057,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-07-19,ma200_switch_00685L,0.9715679269042496,0.9715679269042496,0.9715679269042496,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-07-20,ma200_switch_00685L,0.9837934300555244,0.9837934300555244,0.9837934300555244,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-07-23,ma200_switch_00685L,0.9902657552532581,0.9902657552532581,0.9902657552532581,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-07-24,ma200_switch_00685L,0.9952997859626065,0.9952997859626065,0.9952997859626065,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-07-25,ma200_switch_00685L,1.0003338166719549,1.0003338166719549,1.0003338166719549,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-07-26,ma200_switch_00685L,1.0024912584045327,1.0024912584045327,1.0024912584045327,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-07-27,ma200_switch_00685L,1.017593350532578,1.017593350532578,1.017593350532578,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-07-30,ma200_switch_00685L,1.0111210253348442,1.0111210253348442,1.0111210253348442,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-07-31,ma200_switch_00685L,1.0154359087999998,1.0154359087999998,1.0154359087999998,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-08-01,ma200_switch_00685L,1.0298188536838526,1.0298188536838526,1.0298188536838526,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-08-02,ma200_switch_00685L,0.997457227695184,0.997457227695184,0.997457227695184,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-08-03,ma200_switch_00685L,1.0154359087999998,1.0154359087999998,1.0154359087999998,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-08-06,ma200_switch_00685L,1.0161550560441925,1.0161550560441925,1.0161550560441925,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-08-07,ma200_switch_00685L,1.013278467067422,1.013278467067422,1.013278467067422,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-08-08,ma200_switch_00685L,1.026942264707082,1.026942264707082,1.026942264707082,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-08-09,ma200_switch_00685L,1.023346528486119,1.023346528486119,1.023346528486119,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-08-10,ma200_switch_00685L,1.0147167615558073,1.0147167615558073,1.0147167615558073,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-08-13,ma200_switch_00685L,0.9730062213926344,0.9730062213926344,0.9730062213926344,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-08-14,ma200_switch_00685L,0.9859508717881019,0.9859508717881019,0.9859508717881019,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-08-15,ma200_switch_00685L,0.9686913379274786,0.9686913379274786,0.9686913379274786,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-08-16,ma200_switch_00685L,0.9672530434390934,0.9672530434390934,0.9672530434390934,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-08-17,ma200_switch_00685L,0.9643764544623227,0.9643764544623227,0.9643764544623227,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-08-20,ma200_switch_00685L,0.9658147489507078,0.9658147489507078,0.9658147489507078,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-08-21,ma200_switch_00685L,0.9816359883229457,0.9816359883229457,0.9816359883229457,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-08-22,ma200_switch_00685L,0.983074282811331,0.983074282811331,0.983074282811331,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-08-23,ma200_switch_00685L,0.9909849024974499,0.9909849024974499,0.9909849024974499,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-08-24,ma200_switch_00685L,0.9823551355671385,0.9823551355671385,0.9823551355671385,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-08-27,ma200_switch_00685L,1.0039295528929173,1.0039295528929173,1.0039295528929173,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
2018-08-28,ma200_switch_00685L,1.0168742032883848,1.0168742032883848,1.0168742032883848,,,,,,,,,0.0,,,,,,,,,,,,,,0.0
